BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight
25.35,,2018 LR,h614d,Kenya,6.0,0.5,,2018,,,,6.0,6.0,2/28/2018,18.75,id_00dede1f,34.86110682,6.0,0.038081094,
7.0,10.0,2018B,pan_4m2,Rwanda,5.0,0.1235525,,2018,47.0,5.0,0.0,5.0,5.0,2/24/2018,11.8,id_00e2d45b,29.36349867,5.0,-1.871330923,1.700000048
31.1,,2015 LR,,Kenya,5.0,0.75,0.0,2015,18.3,25.0,,8.0,5.0,,34.5,id_00e6e04a,34.22060993,5.0,0.424336893,17.3
,,2017 LR,,Kenya,8.0,0.5,25.0,2017,11.9,0.0,,8.0,5.0,,,id_00e7f887,35.03578615,5.0,0.851962461,12.65
19.75,5.0,2018A,unknown,Rwanda,5.0,0.1235525,,2018,,7.0,0.0,5.0,5.0,9/4/2017,29.4,id_00e9be40,29.35612552,5.0,-1.893361983,
,,2018 LR,,Kenya,,0.25,,2018,18.45,,,,,,,id_00eda02d,34.7105789,,-0.8154838,11.0
,,2018 LR,,Kenya,,0.5,,2018,2.0,,,,,,,id_00f54115,34.93403707,,-0.876519315,2.2
,,2018 LR,,Kenya,,1.0,,2018,14.55,,,,,,,id_00f7f46e,34.5566918,,-0.694015707,16.25
38.4,,2015 LR,,Kenya,8.0,0.5,25.0,2015,24.5,25.0,,8.0,5.0,,40.1,id_00fd121b,35.06038228,5.0,0.726845707,23.81
,,2017 LR,PAN 691,Kenya,8.0,2.5,125.0,2017,9.7,125.0,,8.0,5.0,,,id_00fdc6ec,34.91464793,5.0,0.38239554,9.7
14.0,0.166,2016A,,Rwanda,5.0,0.21003925,,2016,,0.25,,5.0,5.0,9/7/2015,12.0,id_00febe28,29.28468254,5.0,-2.191395644,
,,2017 LR,,Kenya,8.0,0.5,25.0,2017,19.01,25.0,,8.0,5.0,,,id_0104256c,34.38418301,5.0,0.061231375,21.6
,,2018 LR,,Kenya,,0.5,,2018,15.15,,,,,,,id_01043709,34.16311057,,0.314665619,13.5
29.0,,2018 LR,dk8031,Kenya,6.0,0.5,25.0,2018,,25.0,,6.0,6.0,2/6/2018,32.0,id_0106ee20,35.01092115,6.0,-0.448168338,
,,2018 LR,,Kenya,,0.75,,2018,9.95,,,,,,,id_0110ea04,34.5552587,,0.4415424,7.3
19.1,,2016 LR,H_614D,Kenya,8.0,0.25,15.0,2016,19.45,15.0,,,5.0,3/11/2016,27.2,id_01146a62,34.89568623,,0.370482594,11.15
10.9,,2016 LR,Local,Kenya,8.0,0.5,20.0,2016,8.5,25.0,,,5.0,3/23/2016,12.8,id_01185d12,34.69324701,,-0.629712329,7.5
14.0,,2015B,NSP,Rwanda,,0.049421,,2015,,1.0,,,,25-Jan-15,9.0,id_01264421,29.36349867,,-1.871330923,
9.0,,2016 LR,,Kenya,8.0,0.25,0.0,2016,6.0,25.0,,,5.0,,7.0,id_012bdcd8,34.43455397,,-1.110588843,7.75
,,2017 LR,,Kenya,,0.25,8.0,2017,,15.0,,8.0,5.0,,,id_012c5b50,34.66117874,,0.019018725,3.4
,,2015 LR,,Kenya,,0.5,,2015,,,,,,,,id_012eb300,34.44765847,,0.057072329,
24.7,,2016 LR,H_614D,Kenya,8.0,0.5,25.0,2016,6.8,25.0,,8.0,5.0,3/27/2016,19.3,id_012ebc93,34.91367225,5.0,0.141348894,8.3
23.0,,2018 LR,h614d otherhybrid,Kenya,6.0,1.0,50.0,2018,,50.0,,6.0,6.0,2/26/2018,22.05,id_0131c0d8,34.5089227,6.0,0.221932952,
5.35,,2016 LR,,Kenya,8.0,0.5,25.0,2016,3.05,25.0,,,5.0,,6.45,id_0133e5c9,34.55972608,,0.5812205,2.0
,,2018 LR,,Kenya,,0.5,,2018,7.3,,,,,,,id_01342bd1,34.4538708,,0.142754488,10.9
31.05,,2018 LR,dk8031,Kenya,6.0,0.75,,2018,,35.0,,6.0,6.0,3/16/2018,30.05,id_0138fdd2,34.8663238,6.0,-0.467194873,
